"Time","L1","L2","L3"
2024-06-06 02:03:00,1.28 K,659,563
2024-06-06 02:04:00,1.29 K,641,546
2024-06-06 02:05:00,1.29 K,640,568
2024-06-06 02:06:00,753,0.342,-0.777
2024-06-06 02:07:00,750,0.434,-0.958
2024-06-06 02:08:00,765,0.397,-0.844
2024-06-06 02:09:00,766,0.427,-0.812
2024-06-06 02:10:00,768,0.437,-0.822
2024-06-06 02:11:00,766,0.469,-0.478
2024-06-06 02:12:00,1.30 K,657,560
2024-06-06 02:13:00,1.33 K,676,582
2024-06-06 02:14:00,1.44 K,793,682
2024-06-06 02:15:00,1.38 K,737,652
2024-06-06 02:16:00,1.29 K,712,612
2024-06-06 02:17:00,1.33 K,701,611
2024-06-06 02:18:00,1.38 K,734,630
2024-06-06 02:19:00,1.39 K,726,624
2024-06-06 02:20:00,1.36 K,715,611
2024-06-06 02:21:00,1.28 K,699,599
2024-06-06 02:22:00,767,0.517,-0.485
2024-06-06 02:23:00,764,0.515,-0.491
2024-06-06 02:24:00,763,0.574,-0.504
2024-06-06 02:25:00,769,0.505,-0.475
2024-06-06 02:26:00,765,0.525,-0.501
2024-06-06 02:27:00,764,0.492,-0.486
2024-06-06 02:28:00,764,0.536,-0.525
2024-06-06 02:29:00,1.24 K,673,571
2024-06-06 02:30:00,1.27 K,702,601
2024-06-06 02:31:00,1.29 K,715,620
2024-06-06 02:32:00,1.39 K,751,661
2024-06-06 02:33:00,1.38 K,723,627
2024-06-06 02:34:00,1.35 K,692,596
2024-06-06 02:35:00,1.38 K,706,633
2024-06-06 02:36:00,1.30 K,705,588
2024-06-06 02:37:00,1.30 K,705,598
2024-06-06 02:38:00,776,0.474,-0.519
2024-06-06 02:39:00,764,0.450,-0.503
2024-06-06 02:40:00,764,0.494,-0.486
2024-06-06 02:41:00,770,0.512,-0.477
2024-06-06 02:42:00,770,0.505,-0.535
2024-06-06 02:43:00,755,0.431,-0.854
2024-06-06 02:44:00,759,0.450,-0.834
2024-06-06 02:45:00,1.29 K,664,586
2024-06-06 02:46:00,1.33 K,665,569
2024-06-06 02:47:00,1.33 K,708,631
2024-06-06 02:48:00,1.32 K,658,569
2024-06-06 02:49:00,1.25 K,683,586
2024-06-06 02:50:00,1.37 K,702,613
2024-06-06 02:51:00,1.35 K,714,630
